transaction_id,original_timestamp,bin_country,card_type,card_network,issuing_bank,invoice_amount_usd,day_of_month,day_of_week,hour_of_day,is_payday_proximity,is_banking_settlement_window,current_gateway,retry_attempt_number,elapsed_days_since_first_decline,decline_code,retry_success
a77e4f68-9e2d-4493-afd9-71543e2788c1,2026-08-21T13:52:12.968693,IN,upi,upi_autopay,paytm,999.0,21,0,0,0,0,cashfree,3,5.9843,bank_server_down,0
713afeff-0ed7-45b8-825a-0ffead4ab3e1,2026-08-29T11:12:28.387547,IN,upi,upi_autopay,hdfc_bank,89.0,5,5,3,1,0,cashfree,1,0.0407,bank_server_down,0
d1579ebe-521c-44bb-9107-e9105c3d188c,2026-09-17T17:21:00.796153,IN,upi,upi_autopay,sbi,999.0,3,4,13,1,1,payu,1,0.1323,insufficient_funds,1
0494443b-1fe0-4cb5-a62b-5c6aef4fb8f0,2026-08-31T07:01:12.616346,IN,upi,upi_autopay,cred,149.0,3,1,7,1,0,cashfree,2,3.3555,insufficient_funds,0
d59f8e22-fcc4-4fa9-aa86-ae7962e704db,2026-09-02T10:05:40.950576,IN,debit,rupay,sbi,18500.0,23,5,22,0,0,cashfree,1,0.0398,rbi_afa_limit_exceeded,0
8c56c87d-ee8a-4a7e-8d19-46660f73d606,2026-08-27T00:44:04.540092,IN,upi,upi_autopay,sbi,999.0,19,2,0,0,0,billdesk,1,0.0139,bank_server_down,0
a19d6428-3de6-4f9d-953e-29c1d5a79ad4,2026-09-14T02:47:31.040694,IN,debit,rupay,sbi,149.0,14,2,8,0,0,payu,1,0.028,processing_error,0
a784a848-e72a-49ba-b7ac-fd293b7c60fb,2026-09-07T00:52:33.482013,IN,credit,mastercard,hdfc_bank,149.0,11,0,2,0,0,cashfree,1,0.3744,bank_server_down,0
4ce47fd6-7be0-4272-b248-2f0e820efcc0,2026-08-29T20:51:14.271020,IN,debit,visa,sbi,149.0,12,6,11,0,1,billdesk,2,1.828,bank_server_down,1
1ce81eb4-7b1d-4aa8-b6ec-bc23c38d6890,2026-09-13T19:44:03.503802,IN,upi,upi_autopay,hdfc_bank,1499.0,24,3,17,0,0,billdesk,1,1.2416,insufficient_funds,0
55ffffa7-2150-483b-b125-05bdf6b43339,2026-08-20T07:07:58.484196,IN,upi,upi_autopay,sbi,999.0,30,3,2,1,0,razorpay,4,12.9503,gateway_timeout,0
a29ebf31-649b-4590-a96c-8381cc87550a,2026-08-17T21:13:03.353981,IN,debit,rupay,axis_bank,149.0,27,5,19,0,0,payu,3,5.3611,bank_server_down,0
2a89e9c2-9d1e-4402-8532-ea8a87473fa3,2026-08-27T08:07:58.032079,IN,debit,visa,icici_bank,999.0,12,4,6,0,0,razorpay,2,1.3327,do_not_honor,0
633116d1-894f-4199-944a-207d84b0066a,2026-08-20T05:29:50.143073,IN,credit,rupay,hdfc_bank,89.0,8,6,9,1,1,razorpay,1,0.023,processing_error,1
f70e327e-67ca-4b21-8cc8-2022f986537f,2026-09-05T12:25:55.705632,IN,upi,upi_autopay,hdfc_bank,149.0,28,1,3,1,0,payu,2,1.8869,insufficient_funds,0
